1/1/19,184
1/2/19,183.4
1/3/19,181.2
1/4/19,179.8
1/5/19,180.4
1/6/19,180.8
1/7/19,180.2
1/8/19,178.6
1/9/19,179.2
1/10/19,177.8
1/11/19,179
1/12/19,179.2
1/13/19,178.8
1/14/19,NaN
1/15/19,NaN
1/16/19,NaN
1/17/19,NaN
1/18/19,NaN
1/19/19,NaN
1/20/19,NaN
1/21/19,NaN
1/22/19,NaN
1/23/19,NaN
1/24/19,NaN
1/25/19,NaN
1/26/19,NaN
1/27/19,NaN
1/28/19,NaN
1/29/19,NaN
1/30/19,NaN
1/31/19,NaN
2/1/19,NaN
2/2/19,NaN
2/3/19,NaN
2/4/19,NaN
2/5/19,NaN
2/6/19,NaN
2/7/19,NaN
2/8/19,NaN
2/9/19,NaN
2/10/19,NaN
2/11/19,NaN
2/12/19,NaN
2/13/19,NaN
2/14/19,NaN
2/15/19,NaN
2/16/19,NaN
2/17/19,NaN
2/18/19,NaN
2/19/19,NaN
2/20/19,NaN
2/21/19,NaN
2/22/19,NaN
2/23/19,NaN
2/24/19,NaN
2/25/19,NaN
2/26/19,NaN
2/27/19,NaN
2/28/19,NaN
3/1/19,NaN
3/2/19,NaN
3/3/19,NaN
3/4/19,NaN
3/5/19,NaN
3/6/19,NaN
3/7/19,NaN
3/8/19,NaN
3/9/19,NaN
3/10/19,NaN
3/11/19,NaN
3/12/19,NaN
3/13/19,NaN
3/14/19,NaN
3/15/19,NaN
3/16/19,NaN
3/17/19,NaN
3/18/19,NaN
3/19/19,NaN
3/20/19,NaN
3/21/19,NaN
3/22/19,NaN
3/23/19,NaN
3/24/19,NaN
3/25/19,NaN
3/26/19,NaN
3/27/19,NaN
3/28/19,NaN
3/29/19,NaN
3/30/19,NaN
3/31/19,NaN
4/1/19,NaN
4/2/19,NaN
4/3/19,NaN
4/4/19,NaN
4/5/19,NaN
4/6/19,NaN
4/7/19,NaN
4/8/19,NaN
4/9/19,NaN
4/10/19,NaN
4/11/19,NaN
4/12/19,NaN
4/13/19,NaN
4/14/19,NaN
4/15/19,NaN
4/16/19,NaN
4/17/19,NaN
4/18/19,NaN
4/19/19,NaN
4/20/19,NaN
4/21/19,NaN
4/22/19,NaN
4/23/19,NaN
4/24/19,NaN
4/25/19,NaN
4/26/19,NaN
4/27/19,NaN
4/28/19,NaN
4/29/19,NaN
4/30/19,NaN
5/1/19,NaN
5/2/19,NaN
5/3/19,NaN
5/4/19,NaN
5/5/19,NaN
5/6/19,NaN
5/7/19,NaN
5/8/19,NaN
5/9/19,NaN
5/10/19,NaN
5/11/19,NaN
5/12/19,NaN
5/13/19,NaN
5/14/19,NaN
5/15/19,NaN
5/16/19,NaN
5/17/19,NaN
5/18/19,NaN
5/19/19,NaN
5/20/19,NaN
5/21/19,NaN
5/22/19,NaN
5/23/19,NaN
5/24/19,NaN
5/25/19,NaN
5/26/19,NaN
5/27/19,NaN
5/28/19,NaN
5/29/19,NaN
5/30/19,NaN
5/31/19,NaN
6/1/19,NaN
6/2/19,NaN
6/3/19,NaN
6/4/19,NaN
6/5/19,NaN
6/6/19,NaN
6/7/19,NaN
6/8/19,NaN
6/9/19,NaN
6/10/19,NaN
6/11/19,NaN
6/12/19,NaN
6/13/19,NaN
6/14/19,NaN
6/15/19,NaN
6/16/19,NaN
6/17/19,NaN
6/18/19,NaN
6/19/19,NaN
6/20/19,NaN
6/21/19,NaN
6/22/19,NaN
6/23/19,NaN
6/24/19,NaN
6/25/19,NaN
6/26/19,NaN
6/27/19,NaN
6/28/19,NaN
6/29/19,NaN
6/30/19,NaN
7/1/19,NaN
7/2/19,NaN
7/3/19,NaN
7/4/19,NaN
7/5/19,NaN
7/6/19,NaN
7/7/19,NaN
7/8/19,NaN
7/9/19,NaN
7/10/19,NaN
7/11/19,NaN
7/12/19,NaN
7/13/19,NaN
7/14/19,NaN
7/15/19,NaN
7/16/19,NaN
7/17/19,NaN
7/18/19,NaN
7/19/19,NaN
7/20/19,NaN
7/21/19,NaN
7/22/19,NaN
7/23/19,NaN
7/24/19,NaN
7/25/19,NaN
7/26/19,NaN
7/27/19,NaN
7/28/19,NaN
7/29/19,NaN
7/30/19,NaN
7/31/19,NaN
8/1/19,NaN
8/2/19,NaN
8/3/19,NaN
8/4/19,NaN
8/5/19,NaN
8/6/19,NaN
8/7/19,NaN
8/8/19,NaN
8/9/19,NaN
8/10/19,NaN
8/11/19,NaN
8/12/19,NaN
8/13/19,NaN
8/14/19,NaN
8/15/19,NaN
8/16/19,NaN
8/17/19,NaN
8/18/19,NaN
8/19/19,NaN
8/20/19,NaN
8/21/19,NaN
8/22/19,NaN
8/23/19,NaN
8/24/19,NaN
8/25/19,NaN
8/26/19,NaN
8/27/19,NaN
8/28/19,NaN
8/29/19,NaN
8/30/19,NaN
8/31/19,NaN
9/1/19,NaN
9/2/19,NaN
9/3/19,NaN
9/4/19,NaN
9/5/19,NaN
9/6/19,NaN
9/7/19,NaN
9/8/19,NaN
9/9/19,NaN
9/10/19,NaN
9/11/19,NaN
9/12/19,NaN
9/13/19,NaN
9/14/19,NaN
9/15/19,NaN
9/16/19,NaN
9/17/19,NaN
9/18/19,NaN
9/19/19,NaN
9/20/19,NaN
9/21/19,NaN
9/22/19,NaN
9/23/19,NaN
9/24/19,NaN
9/25/19,NaN
9/26/19,NaN
9/27/19,NaN
9/28/19,NaN
9/29/19,NaN
9/30/19,NaN
10/1/19,NaN
10/2/19,NaN
10/3/19,NaN
10/4/19,NaN
10/5/19,NaN
10/6/19,NaN
10/7/19,NaN
10/8/19,NaN
10/9/19,NaN
10/10/19,NaN
10/11/19,NaN
10/12/19,NaN
10/13/19,NaN
10/14/19,NaN
10/15/19,NaN
10/16/19,NaN
10/17/19,NaN
10/18/19,NaN
10/19/19,NaN
10/20/19,NaN
10/21/19,NaN
10/22/19,NaN
10/23/19,NaN
10/24/19,NaN
10/25/19,NaN
10/26/19,NaN
10/27/19,NaN
10/28/19,NaN
10/29/19,NaN
10/30/19,NaN
10/31/19,NaN
11/1/19,NaN
11/2/19,NaN
11/3/19,NaN
11/4/19,NaN
11/5/19,NaN
11/6/19,NaN
11/7/19,NaN
11/8/19,NaN
11/9/19,NaN
11/10/19,NaN
11/11/19,NaN
11/12/19,NaN
11/13/19,NaN
11/14/19,NaN
11/15/19,NaN
11/16/19,NaN
11/17/19,NaN
11/18/19,NaN
11/19/19,NaN
11/20/19,NaN
11/21/19,NaN
11/22/19,NaN
11/23/19,NaN
11/24/19,NaN
11/25/19,NaN
11/26/19,NaN
11/27/19,NaN
11/28/19,NaN
11/29/19,NaN
11/30/19,NaN
12/1/19,NaN
12/2/19,NaN
12/3/19,NaN
12/4/19,NaN
12/5/19,NaN
12/6/19,NaN
12/7/19,NaN
12/8/19,NaN
12/9/19,NaN
12/10/19,NaN
12/11/19,NaN
12/12/19,NaN
12/13/19,NaN
12/14/19,NaN
12/15/19,NaN
12/16/19,NaN
12/17/19,NaN
12/18/19,NaN
12/19/19,NaN
12/20/19,NaN
12/21/19,NaN
12/22/19,NaN
12/23/19,NaN
12/24/19,NaN
12/25/19,NaN
12/26/19,NaN
12/27/19,NaN
12/28/19,NaN
12/29/19,NaN
12/30/19,NaN
12/31/19,NaN
